speaker,text
01_LYNN,"Whoops... You're standing like this you know. And like, when you're in the back, the horse's hoof uh lays like this right over you... and you're, like this working... you know. This is like a hoof knife, then a... you know."
01_LENO,So you're always bent over.
01_LYNN,"You're always bent over. And like in the front. You stick the horse's hoof between your leg, you know. Kinda like that, and you kinda, you go like this, you kinda bend down like this, and you have the horse's hoof right here."
01_LENO,It's hard on your back.
01_LYNN,"It's really hard on your back. Like, I noticed that girl's back muscles were just tremendous... too you know. Couldn't believe it. She had like on this really p- kinda short shirt, you know... There's this. I think that's cold."
01_LENO,"Just don't... it's... if you rub something against it, it's just."
01_LYNN,Makes a sound. Nkay.
01_LENO,So what... what were you gonna do out there today. What other... what other things were you gonna.
01_LYNN,Just go out and um.
01_LENO,Look at the filly.
01_LYNN,"Yeah. I think more or less, it's getting about, so late now. Pretty much all we're gonna do is go out, I don't know what her plans really are. But I think pretty much just go out and take care of em and then, maybe go to that seasonal dance, or whatever it is. Is that what it's called."
01_LENO,I don't know.
01_LYNN,"I don't know what it's called either. You know, he said there was four guys doing that."
01_LENO,Doing what.
01_LYNN,"Uh The dance, you know. How he said there's four guys, I wonder if that means like, Since there's four seasons, you know. I wonder if that has something to do with it."
01_LENO,Unhunh.
01_LYNN,Since he called it a seasonal dance...
01_LENO,<XX>.
01_LYNN,He's a pretty neat guy. I thought.
01_LENO,"Yeah, he spoke Crow okay..."
01_LYNN,"I got a kick out of him when he kept saying it-, See this little cat. Little cat-."
01_LENO,I don't wanna see the little cat. I know.
01_LYNN,I know.
01_LENO,That sounds like kitten.
01_LYNN,That sounds like kit-.
01_LENO,"I don't wanna say kitten, that sounds stupid..."
01_LYNN,<NONVERBAL>
01_LENO,<NONVERBAL>
01_LYNN,So she named everybody in the class except for.
01_LENO,"About four people. Well, I think they asked for names."
01_LYNN,Oh did they. Hunh. That's funny. Look at how much that air conditioner blew on that blue bag right there.
01_LENO,"Yeah, I noticed on the... on the case for the tape recorder too, that it's all... that it's all covered today. Look right here."
01_LYNN,Look at your cigarettes even.
01_LENO,Look. Right here. Just.
01_LYNN,Geez.
01_LENO,Just from sitting here. For just a minute. That's.
01_LYNN,Look at the cigarettes.
01_LENO,It's like ash. Is it from... that must be from the fires. Or what.
01_LYNN,"You know, maybe it is. Maybe it is."
01_LENO,Uh.
